id,created_at,name,address,latitude,longitude,accept_holidays,average_cost,average_rating,has_wifi,chairs,city_id,neighborhood_id,kind_id,cuisine_id,category_id,moment_id,offer_id
42,2012-07-11 12:58:48,Amici,"Rua Araçari, 200",-23.5835629,-46.6852837,0,60,5,0,1,10,133,2,19,6,2,10649
43,2012-07-11 12:58:49,Mamuang Thai House,Rua Doutor Melo Alves,-23.5610847,-46.6705551,0,80,4,0,6,10,95,1,24,6,2,19
44,2012-07-11 12:58:49,O Pote  do Rei,"Rua Joaquim Antunes, 224",-23.566164,-46.6797218,0,70,5,0,8,10,244,1,19,1,2,10651
45,2012-07-11 12:58:49,Piano Piano,"Av. Moema, 56",-23.603384,-46.6599922,0,30,4,0,4,10,121,2,35,6,2,10652
46,2012-07-11 12:58:50,Accanto,"Avenida Angélica, 681",-23.5389347,-46.6545715,0,30,5,0,2,10,196,2,35,6,2,10654
48,2012-07-11 12:58:50,Eñe,"Rua Mario Ferraz, 213",-23.5824566,-46.6865501,0,90,5,0,6,10,133,1,38,1,2,10653
49,2012-07-11 12:58:51,Pizzaria Prestíssimo,"Alameda Joaquim Eugênio de Lima, 1135",-23.570407,-46.65491,0,50,4,0,8,10,27,1,15,1,2,20
50,2012-07-11 12:58:51,KoíZan,"Rua José Félix Oliveira, 852",-23.5865536,-46.8389435,0,70,5,0,6,10,233,1,36,1,2,10658
51,2012-07-11 12:58:51,Porto,"Rua Amauri, 225",-23.580862,-46.6825867,0,30,3,0,10,10,133,1,30,1,2,4064
52,2012-07-11 12:58:52,Santa Gula,"Rua Fidalga, 340",-23.5565414,-46.6897087,0,70,5,0,4,10,181,2,9,6,2,4743
53,2012-07-11 12:58:52,Trinita Gastronomia,"Avenida Presidente Juscelino Kubitschek, 1444",-23.5907421,-46.6830711,0,70,5,0,10,10,133,1,35,1,2,10660
55,2012-07-11 12:58:52,La Cabaña Parrilla,"Av. Moema, 218",-23.6045609,-46.6588249,1,100,3,0,10,10,121,1,33,1,2,21
56,2012-07-11 12:58:52,Amaranto - Itaim,"Rua Olimpíadas, 205",-23.595787,-46.6846733,1,80,3,0,4,10,133,2,9,6,2,10663
57,2012-07-11 12:58:52,Le French Bazar,"Rua Fradique Coutinho, 179",-23.5649967,-46.6853104,0,70,5,0,1,10,181,2,25,6,2,10662
59,2012-07-11 12:58:53,210 Diner,"Rua Pará, 210",-23.5486927,-46.6597214,0,60,5,0,4,10,85,2,21,6,2,10666
61,2012-07-11 12:58:54,Biondi,"Rua Pedroso Alvarenga, 1026",-23.5821037,-46.6803055,0,30,5,0,2,10,133,2,35,6,2,10672
62,2012-07-11 12:58:54,Trindade,"Rua Amauri, 328",-23.5812778,-46.6835632,0,80,5,0,1,10,133,2,28,6,2,10669
63,2012-07-11 12:58:54,Viandier,"Alameda Lorena, 558",-23.5699711,-46.6591759,0,80,5,0,1,10,17,2,19,6,2,10668
64,2012-07-11 12:58:54,Trindade Alphaville,"Al. Rio Negro 111, piso 1 - Shopping Iguatemi",-23.5045643,-46.848362,0,80,5,0,4,10,210,2,28,6,2,10670
65,2012-07-11 12:58:54,Hub,"Rua Olimpíadas, 205",-23.595787,-46.6846733,0,100,5,0,4,10,133,2,9,6,2,10671
66,2012-07-11 12:58:55,Pasta Lavetti -  Pinheiros,"Av. Diógenes Ribeiro de Lima, 2282 - Térreo",-23.540226,-46.7179222,0,65,4,0,4,10,244,2,35,6,2,5288
67,2012-07-11 12:58:55,Per Paolo - Shop. Jardim Sul,"Av. Giovani Gronchi, 5819 - Piso 2",-23.6304054,-46.7359772,0,60,5,0,4,10,250,2,35,6,2,10676
68,2012-07-11 12:58:55,OK Grill,"Praça Bento de Camargo Barros, 172",-23.520298,-46.6285362,0,120,5,0,8,10,114,1,33,1,2,10678
69,2012-07-11 12:58:55,Pasta Lavetti -  Vl. Mariana,"Rua Rio Grande 380, loja 3",-23.5877209,-46.6431007,0,65,4,0,6,10,238,1,35,1,2,4828
70,2012-07-11 12:58:55,Wraps,"Rua Horácio Lafer, 257",-23.5875378,-46.6817551,0,50,5,0,4,10,133,2,19,6,2,10673
71,2012-07-11 12:58:55,Pasta Lavetti - Perdizes,"Rua Cardoso de Almeida, 1021, Térreo loja 6",-23.5396347,-46.6692924,1,60,4,0,2,10,63,2,35,6,2,3743
72,2012-07-11 12:58:56,Estación Parrilla - Jardins,"Alameda Campinas, 1112",-23.5699158,-46.6573448,0,100,4,0,8,10,17,1,33,1,2,24
73,2012-07-11 12:58:56,Estación Sur - Morumbi,"Rua Carlos Lima Morel, 178",-23.5857792,-46.7165833,0,70,4,0,6,10,250,1,33,1,2,10543
74,2012-07-11 12:58:56,Nico Pasta & Basta,"Rua Costa Aguiar, 1586",-23.5879562,-46.6063831,0,120,4,0,24,10,111,1,35,1,2,27
75,2012-07-11 12:58:57,Kibô Sushi,"Rua Pedroso Alvarenga, 828",-23.5816765,-46.6784744,0,30,5,0,2,10,133,2,36,6,2,10685
76,2012-07-11 12:58:57,El PatiO,"Rua Normandia, 12",-23.6075058,-46.6706848,0,70,5,0,6,10,121,1,38,1,2,10683
78,2012-07-11 12:58:57,Bar da Dona Onça,"Avenida Ipiranga, 200",-23.5465546,-46.6446381,0,60,4,0,2,10,7,2,19,1,2,28
79,2012-07-11 12:58:58,Ibistrot,"Rua dos Pinheiros, 910",-23.5670757,-46.6866264,0,80,3,0,1,10,244,2,19,6,2,10690
80,2012-07-11 12:58:58,Così,"Rua Barão de Tatuí, 302",-23.5384922,-46.6541824,0,80,4,0,2,10,196,2,35,1,2,30
81,2012-07-11 12:58:58,Sushimar,"Alameda Campinas, 1307",-23.5713844,-46.6584091,0,80,4,0,4,10,17,2,36,3,2,29
82,2012-07-11 12:58:58,Becco 388,"Rua Mato Grosso, 388",-23.5504894,-46.659111,0,70,5,0,4,10,85,2,19,6,2,10687
83,2012-07-11 12:58:58,Oryza,"Rua Mato Grosso, 450",-23.5507622,-46.6595993,0,60,5,0,4,10,115,2,9,6,2,10686
84,2012-07-11 12:58:59,Cosí - Vila Nova Conceição,"Rua Jacques Felix,  381",-23.5916348,-46.6710815,0,90,5,0,6,10,200,1,35,1,2,10691
85,2012-07-11 12:58:59,Che Bárbaro - Vila Madalena,"Rua Harmonia, 277",-23.5555515,-46.6879005,0,80,4,0,10,10,181,1,33,1,2,34
87,2012-07-11 12:58:59,Piazza 36,"Praça da República, 36.",-23.5448532,-46.6429672,0,45,5,0,6,10,7,1,19,1,2,10693
90,2012-07-11 12:59:00,Monet,"Rua Fradique Coutinho, 37",-23.5660801,-46.6845436,0,75,5,0,4,10,244,2,25,6,2,10697
91,2012-07-11 12:59:00,Pizzaria Camelo,"R. Marechal Hastimphilo de Moura, 73",-23.6154537,-46.7340698,0,60,4,0,12,10,250,1,15,1,2,5094
92,2012-07-11 12:59:00,Bistrô St. Tropez,"Calçada Aldebarã, 14 - Centro de Apoio 2",-23.4640102,-46.8764687,0,90,5,0,4,10,210,2,19,6,2,10698
93,2012-07-11 12:59:01,Tantra - Granja Viana,"Avenida São Camilo, 988",-23.5830345,-46.8370934,1,90,4,0,10,10,233,1,8,1,2,36
94,2012-07-11 12:59:01,Angeline Restaurante,"Av. Nova Independência, 30",-23.607954,-46.6924019,0,60,3,0,2,10,129,2,19,1,2,37
95,2012-07-11 12:59:01,Forneria Don'Ana,"Avenida Vereador José Diniz, 3560",-23.6169662,-46.6747017,0,70,5,0,4,10,152,2,19,6,2,10700
96,2012-07-11 12:59:01,Kanji Sushi - Moema,"Rua Canário, 683",-23.6016979,-46.6671219,0,80,4,0,2,10,121,2,36,1,2,38
98,2012-07-11 12:59:01,Affresco,"Rua José Felix de Oliveira, 267",-23.5914993,-46.8399124,0,50,5,0,6,10,233,1,35,1,2,10701
99,2012-07-11 12:59:02,Parrilla São José,"Al. Jaú, 1791",-23.5584831,-46.6637878,0,70,5,0,10,10,17,1,33,1,2,10545
100,2012-07-11 12:59:02,Don Camilo,"Av. São Camilo, 580",-23.5854053,-46.8342819,0,60,5,0,4,10,233,2,35,6,2,10707
101,2012-07-11 12:59:02,kanji moema,"Al. Lorena, 1379",-23.5648136,-46.6650658,0,65,4,0,10,10,17,1,36,1,2,10706
103,2012-07-11 12:59:02,Sacra Rolha,"R. Rio Grande, 304",-23.587389,-46.6432953,0,80,5,0,8,10,238,1,19,1,2,10710
104,2012-07-11 12:59:03,Jacaré Grill,"Rua Harmonia, 305/ 317",-23.5554047,-46.6881676,0,35,5,0,4,10,181,2,19,6,2,6523
106,2012-07-11 12:59:04,Sotero,"Rua Barão de Tatuí, 272",-23.5383549,-46.654007,0,40,4,0,2,10,196,2,4,6,2,40
107,2012-07-11 12:59:04,Wolf´s Garten,"Rua Lisboa, 284",-23.561512,-46.6782227,0,80,5,0,4,10,244,2,19,6,2,10715
108,2012-07-11 12:59:04,Espírito Capixaba,"Rua Francisco Leitão, 57",-23.5639515,-46.6795692,0,60,5,0,6,10,244,1,4,1,2,10714
109,2012-07-11 12:59:05,Folha de Uva,Rua Joaquim Antunes 234,-23.5660362,-46.6797943,0,30,4,0,2,10,17,2,3,6,2,3437
110,2012-07-11 12:59:05,Suez,"Estrada do Capuava, 4227",-23.6176529,-46.870945,0,70,5,0,4,10,233,2,30,6,2,10717
111,2012-07-11 12:59:05,Fort London,"Rua Casa Forte, 507",-23.4815292,-46.6179886,0,70,3,0,4,10,77,2,19,6,2,10716
113,2012-07-11 12:59:06,Oliva,"R. Nova Independência, 98",-23.6073151,-46.6921844,0,70,4,0,4,10,288,2,30,6,2,42
114,2012-07-11 12:59:06,Pimenta Fantasma,"R. Cônego Eugênio Leite, 448",-23.5647469,-46.6799011,0,60,5,0,10,10,244,1,9,1,2,10722
115,2012-07-11 12:59:06,Le Manjue Bistrô,"R. Domingos fernandes, 608",-23.5918655,-46.6709976,0,90,5,0,4,10,121,2,25,6,2,10720
116,2012-07-11 12:59:07,Rubi Wine Bar,"Al. Jaú, 1595",-23.559721,-46.6624908,0,100,4,0,2,10,17,2,9,6,2,3454
117,2012-07-11 12:59:07,Arabia,"Rua Haddok Lobo, 1397",-23.5632992,-46.6670113,0,90,4,0,6,10,17,1,3,1,2,46
118,2012-07-11 12:59:07,Paellas Pepe,"Rua Bom Pastor, 1660",-23.5911617,-46.6070747,0,60,4,0,4,10,111,2,38,1,2,47
119,2012-07-11 12:59:07,Lake's,"Cls 402, bloco C, loja 15",-15.8090153,-47.885273,0,100,4,0,4,2,142,2,19,1,2,45
120,2012-07-11 12:59:08,La Piadina,"R. Professor Atílio Innocenti, 911",-23.5952015,-46.6787491,0,70,4,0,8,10,246,1,35,1,2,48
121,2012-07-11 12:59:08,Parrilla Madri,SHCS CL Qd. 408 Bloco D Loja 01,-15.8266907,-47.9218216,0,60,5,0,6,2,142,1,33,1,2,10544
122,2012-07-11 12:59:08,Temaki House,"R. Guaimbé, 173",-23.5627785,-46.5933914,0,50,5,0,4,10,79,2,36,6,2,10727
123,2012-07-11 12:59:08,Rayuela,"SCLS 412 Bloco A, Loja 37",-15.7560234,-47.8943443,0,60,5,0,8,2,142,1,19,1,2,10729
124,2012-07-11 12:59:09,Marakuthai,"Al. Itu, 1618",-23.5576134,-46.6664085,0,95,5,0,6,10,17,1,9,1,2,10733
127,2012-07-11 12:59:10,Baco Asa Sul,SHCS  CL 408 Bloco C Loja 35,-16.0289402,-48.0222893,0,50,5,0,4,2,142,2,15,6,2,10735
128,2012-07-11 12:59:10,Cielo,SHIS CL QI 09 Bloco B Loja 18,-15.8266907,-47.9218216,0,80,5,0,8,2,153,1,35,1,2,10734
129,2012-07-11 12:59:10,Baco Asa Norte,SHCLN Qd. 309 Bloco A Loja 30/40,-15.7621508,-47.8882256,0,50,5,0,4,2,106,2,15,6,2,10736
131,2012-07-11 12:59:11,Bar Bhupal,"Av. Dr. Alberto de Oliveira Lima, 286",-23.6162338,-46.7050438,0,70,5,0,1,10,250,2,19,6,2,10738
132,2012-07-11 12:59:11,Paris 6 Bistrô Classique,Rua Haddock Lobo,-23.5599937,-46.6638718,0,80,4,0,4,10,17,2,25,1,2,52
133,2012-07-11 12:59:12,Piola - Jardins,"Alameda Lorena, 1765",-23.5625496,-46.6677742,0,90,4,0,4,10,17,2,15,1,2,53
134,2012-07-11 12:59:12,Cantina Roperto,"Rua 13 de Maio, 634",-23.5588093,-46.6466026,0,65,4,0,10,10,162,1,35,1,2,4103
135,2012-07-11 12:59:12,Hitam Cozinha Thai,"Rua Aurea, 333",-23.5872784,-46.6453857,0,60,5,0,4,10,238,2,24,6,2,10740
137,2012-07-11 12:59:13,Lagash,"CLN  308 Norte, bloco B - lojas 11/17.",-15.762764,-47.8889046,0,30,5,0,4,2,106,2,3,6,2,10743
138,2012-07-11 12:59:14,A Tal da Pizza - Granja Viana,"Rua Meandro, 460",-23.6155434,-46.8457527,0,65,4,0,2,10,233,2,15,6,2,4426
139,2012-07-11 12:59:15,Pitanga,"Rua Original, 162",-23.5532093,-46.6883583,0,50,4,0,6,10,181,1,19,1,2,10748
140,2012-07-11 12:59:15,A Tal da Pizza - Alphaville,"Av. Pentagono, 332",-23.4514732,-46.8936234,0,60,5,0,1,10,210,2,15,6,2,10747
141,2012-07-11 12:59:15,Espaço Árabe,"Rua Oscar Freire, 168",-23.5675049,-46.6637611,0,30,5,0,4,10,17,2,3,6,2,10749
142,2012-07-11 12:59:16,Sí Senõr - Higienópolis,"Rua Armando Penteado, 18",-23.5446548,-46.6613998,0,60,5,0,10,10,115,1,18,1,2,10752
143,2012-07-11 12:59:16,Sí Señor - Granja Viana,"Rodovia Raposo Tavares, km 23,5 - Shopp. Granja Viana Piso Life Style",-23.0847759,-49.5372314,0,60,5,0,5,10,233,1,18,1,2,10753
144,2012-07-11 12:59:16,Sí Señor - Itaim,"Rua Dr. Renato Paes de Barros, 682",-23.5846329,-46.6735878,0,60,5,0,6,10,133,1,18,1,2,10751
145,2012-07-11 12:59:19,A Tal da Pizza - Jardim Europa,"Rua Dr. Mário Ferraz, 351",-23.5834866,-46.6858635,0,70,4,0,8,10,17,1,15,1,2,3046
147,2012-07-11 12:59:19,Sí Señor - Alphaville,"Av. Piracema, 669 Shopping Tamboré",-23.5045986,-46.8345871,0,60,5,0,6,10,210,1,18,1,2,10755
149,2012-07-11 12:59:20,Atmosphere Bistrô e Bar,"R. Marechal Hastimphilo de Moura, 233",-23.6168594,-46.7353592,0,80,5,0,4,10,250,2,9,6,2,10759
150,2012-07-11 12:59:20,1900 Pizzeria - Jardins,"R. Barão de Capanema, 348",-23.5672359,-46.665741,0,80,4,0,8,10,17,1,15,1,2,54
151,2012-07-11 12:59:20,Spago,"R. Leopoldo Couto de Magalhães, 681",-23.5881023,-46.679306,0,60,5,0,6,10,133,1,35,1,2,10760
152,2012-07-11 12:59:21,Pecorino Bar e Trattoria - Jardim Paulista,"Al. Joaquim Eugênio de Lima, 1706",-23.5740204,-46.6589546,0,80,4,0,10,10,27,1,35,1,2,56
153,2012-07-11 12:59:21,Pecorino Bar e Trattoria - Vl. Nova Conceição,"R. Domingos Leme, 687",-23.59408,-46.6704025,0,70,4,0,4,10,262,2,35,1,2,55
154,2012-07-11 12:59:22,Places,SHS (Setor hoteleiro sul) Qd 5 - Bloco H,-15.794405,-47.8920097,0,60,5,0,12,2,142,1,19,1,2,6065
155,2012-07-11 12:59:22,MyNY Bar,"R. Pedroso Alvarenga, 1285",-23.5830193,-46.68256,0,40,5,0,4,10,133,2,19,6,2,10764
156,2012-07-11 12:59:22,Originale Trattoria,"Rua Original, 123",-23.553236,-46.6879082,0,50,4,0,6,10,181,1,35,6,2,57
158,2012-07-11 12:59:23,Benedetta,"Rua Gaivota, 491",-23.6009521,-46.6650772,0,70,5,0,4,10,121,2,35,6,2,10768
159,2012-07-11 12:59:24,Via 7 - Leblon,"Av. Ataulfo de Paiva, 1240 loja B",-22.9855213,-43.2276382,0,60,5,0,6,16,29,1,21,1,2,10770
160,2012-07-11 12:59:24,Felice Caffé,"Rua Gomes Carneiro, 30",-22.9863605,-43.1971016,0,50,5,0,6,16,212,1,9,1,2,10769
161,2012-07-11 12:59:25,Salitre - Barra Shopping,"Av. das Américas 4666, Barra Shopping (Expansão)",-22.998738,-43.356626,0,90,4,0,4,16,113,2,9,6,2,62
162,2012-07-11 12:59:25,Ping Pong - Itaim,"Rua Lopes Neto, 15",-23.5854607,-46.6839371,0,60,5,0,10,10,133,1,8,1,2,10774
163,2012-07-11 12:59:25,Salitre - Ipanema,"Rua Barão da Torre, 632",-22.9826775,-43.2122688,0,80,4,1,4,16,212,2,9,1,2,61
164,2012-07-11 12:59:25,Via 7 - Centro,"Rua Sete de Setembro, 43 loja C",-22.9042301,-43.1762085,0,60,5,0,12,16,206,1,21,1,2,10771
165,2012-07-11 12:59:26,00 Bistrô,"R. Barão da Torre, 398",-22.9827232,-43.2065468,0,70,5,0,4,16,212,2,9,6,2,10777
166,2012-07-11 12:59:26,Si Señor - Leblon,"Rua General San Martin, 1011",-22.986414,-43.2258682,0,30,5,0,6,16,29,1,18,1,2,10776
167,2012-07-11 12:59:26,Ping Pong - Morumbi,"Avenida Roque Petroni Júnior, 1089 Shopping Morumbi Piso Laser",-23.6233616,-46.6988335,0,60,5,0,4,10,250,2,8,6,2,10775
168,2012-07-11 12:59:27,The Garden - Vl mariana,"Av. Engenheiro Luis Gomes Cardin Sangirardi, 20",-23.5789566,-46.6292191,0,60,5,0,1,10,238,2,36,6,2,10778
169,2012-07-11 12:59:27,Bistrô Charlô,"R. Barão de Capanema, 454",-23.5666332,-46.6666756,0,100,4,0,12,10,95,1,25,1,2,63
170,2012-07-11 12:59:28,Papillon De Nuit,"R. Fernando de Albuquerque, 255",-23.553257,-46.6585503,0,70,5,0,4,10,85,2,25,6,2,10780
171,2012-07-11 12:59:28,Black Pepper Burger & Co.,"R. Jandiatuba, 550 loja 01",-23.6301136,-46.7348213,0,50,5,0,4,10,250,2,21,6,2,4648
172,2012-07-11 12:59:29,Atlântica 1910,"Av. Atlântica 1910, loja A",-22.9685612,-43.1804428,0,80,5,0,8,16,13,1,30,1,2,10782
173,2012-07-11 12:59:29,Hitô - Moema,"Rua Inhambú, 720",-23.6010361,-46.6683807,0,90,4,0,4,10,121,2,36,1,2,64
175,2012-07-11 12:59:30,Trattoria 101,CLSW 101 Bloco C Loja 38/42,-15.7985544,-47.9209099,0,60,5,0,3,2,74,2,35,6,2,10785
176,2012-07-11 12:59:30,San Lorenzo Ristorante,CLSW 103 Bloco B Lojas 08/12,-15.8013678,-47.9253883,0,80,5,0,4,2,74,2,19,6,2,10784
177,2012-07-11 12:59:30,Unanimitá,"SHCS CL 408, Bloco C Loja 25",-16.0289402,-48.0222893,0,80,4,0,6,2,142,1,35,1,2,4920
178,2012-07-11 12:59:31,Kony Sushi Bar,"Alameda Jaú, 1494",-23.5600796,-46.6615677,0,40,5,0,4,10,17,2,36,6,2,10789
179,2012-07-11 12:59:31,Best Burger & CO.,"Av. Piracema, 669. Loja 75B.",-23.5045986,-46.8345871,0,50,3,0,8,10,169,1,21,1,2,10788
180,2012-07-11 12:59:31,Chakras,"R. Dr. Melo Alves, 294",-23.5601311,-46.6697884,0,60,5,0,16,10,17,1,9,1,2,10790
181,2012-07-11 12:59:32,Camarão na Moranga Bar e Restaurante,"Av. Imperatriz Leopoldina, 1490",-23.5340481,-46.7284698,1,60,3,0,20,10,193,1,19,1,2,10793
182,2012-07-11 12:59:32,Oliver,"SCS Trecho 2, Lote 2, Entrada B",-15.8183355,-47.8746986,0,80,5,0,8,2,175,1,19,1,2,10791
183,2012-07-11 12:59:32,Consulado Mineiro - Cidade Jardim,"R. Professor Arthur Ramos, 187",-23.5821075,-46.6859627,1,45,4,0,10,10,133,1,4,1,2,65
184,2012-07-11 12:59:33,Dudu Camargo Restaurante,"SHCS CL 303, Bloco A, loja 03",-16.0368595,-48.0277519,0,80,4,0,4,2,142,2,9,6,2,68
185,2012-07-11 12:59:33,La Table Enogastronomia,"Av. Roque Petroni Jr, 1089 Shopping Morumbi  Lj. 30H piso Lazer",-23.6215115,-46.6980476,0,70,4,0,10,10,250,1,35,1,2,10794
186,2012-07-11 12:59:33,Da Noi,"SHTN conj.1B Bloco ""A/B"" - Térreo",-15.7880754,-47.831646,0,55,3,0,10,2,106,1,19,1,2,3794
187,2012-07-11 12:59:33,Yours,"SHIS QI 11 Bloco I Loja 16, 40, 46",-15.8363838,-47.867794,0,70,4,0,6,2,153,1,9,1,2,10796
188,2012-07-11 12:59:34,Aze Sushi,"R. Dr. Renato Paes de Barros, 769",-23.5853901,-46.6730881,0,90,5,0,4,10,133,2,36,6,2,3377
189,2012-07-11 12:59:34,Amaranto - Guarulhos,"Rod. Helio Smidt, setor 1 - Caesar Park Hotel",-23.4501305,-46.4890709,0,80,5,0,4,10,226,2,9,6,2,10798
191,2012-07-11 12:59:35,Eñe - Rio,"Av. Prefeito Mendes de Moraes, 222",-22.9985695,-43.2577515,0,90,5,0,12,16,217,1,38,1,2,10802
192,2012-07-11 12:59:35,Coccinelle Bistrô,"Travessa do comércio (Arco do Teles), n°11",-22.9027748,-43.1746254,0,30,4,0,4,16,206,2,19,6,2,10801
193,2012-07-11 12:59:37,Shinjuku,"R. Dr. Mário Ferraz, 37",-23.5809784,-46.6874504,1,70,5,0,4,10,133,2,36,6,2,10804
194,2012-07-11 12:59:38,Geisha Hi Tech,"Rua Gal. Severiano, 97 Loja 125",-22.9538441,-43.1778946,0,70,5,0,4,16,194,2,36,6,2,10807
195,2012-07-11 12:59:38,Kaiten,"R. Ouvidor, 77",-22.9030056,-43.1767731,0,60,5,0,6,16,206,1,36,1,2,10806
196,2012-07-11 12:59:38,Japs - Pompéia,"Avenida Pompéia,1800",-23.5383224,-46.6910019,1,90,3,0,6,10,87,1,36,1,2,69
197,2012-07-11 12:59:39,Respeitável Burger,SHCS CL 402 Bloco B Loja 25,-15.813076,-47.8961105,0,50,4,0,10,2,142,1,21,1,2,70
198,2012-07-11 12:59:39,Mangiare Gastrônomia,"Av. Imperatriz Leopoldina, 681",-23.5282307,-46.7329483,0,60,5,0,6,10,193,1,35,1,2,10809
199,2012-07-11 12:59:40,Hitô - Itaim,"R. Tabapuã, 846",-23.5837688,-46.6788139,0,90,4,0,4,10,133,2,36,1,2,71
200,2012-07-11 12:59:40,Parrilla La Recoleta,Rua Caiubi,-23.5381279,-46.6752129,0,90,4,0,4,10,63,2,33,1,2,72
201,2012-07-11 12:59:40,Babaganoush,"R. das Olimpiadas, 360 Shopping Vila Olimpia Loja 509",-23.5954647,-46.6867867,0,35,4,0,2,10,246,2,3,6,2,10811
202,2012-07-11 12:59:41,SÍ Señor - São Bernardo do Campo,"Av. Kenedy, 50",-23.6911736,-46.5794792,0,60,5,0,10,10,135,1,18,1,2,10814
203,2012-07-11 12:59:42,Portucale Restaurante,"R. Nova Cidade, 418",-23.5998611,-46.6811905,0,60,4,0,8,10,246,1,28,1,2,76
204,2012-07-11 12:59:42,La Plancha,SCLS. 209 BLOCO C LOJA 3 E 5,-15.8047409,-47.8848495,0,30,5,0,6,2,142,1,30,1,2,10815
206,2012-07-11 12:59:42,Café Antiquário & Capodanno Pizze,"Pontão do Lago Sul, QI 10",-15.8256121,-47.8734169,0,60,5,0,5,2,153,1,19,1,2,10816
207,2012-07-11 12:59:43,Sagrado Bar,"R. Dr. Renato Paes de Barros, 994",-23.5873032,-46.6727753,0,60,5,0,6,10,133,1,19,1,2,10821
208,2012-07-11 12:59:43,Best Burger & Co. Granja Viana,"Rod. Raposo Tavares, KM 23 shopping Granja Viana",-23.5924988,-46.8336868,0,45,5,0,6,10,233,1,21,1,2,10819
